filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,cluster
SpotiDownloader.com - 3am - Loe Shimmy.mp3,-109.884865,99.92492,13.121744,27.107359,-0.54839313,4.852383,4.496545,-3.7761445,-7.665624,9.994459,-0.38053474,1.7417861,6.0906,9
SpotiDownloader.com - Cars Bring Me Out (feat. Future) - Young Thug.mp3,-120.72885,76.286804,-11.339784,21.36478,-7.7734222,-2.7146506,-19.441368,-4.5036955,-10.540892,1.1517282,-2.9533303,-0.92457765,-6.3464785,8
SpotiDownloader.com - DA WIZARD - Travis Scott.mp3,-95.542305,91.57592,63.563152,24.281958,25.353233,16.467178,2.2278082,15.304879,4.5901523,17.496862,6.571376,17.436316,5.2268887,4
SpotiDownloader.com - Enemies - Offset.mp3,-250.63414,155.58417,54.738148,25.150314,11.038942,6.144266,3.6600845,-6.386765,-13.996115,-7.854938,-13.748313,-2.0981348,-6.1630225,0
SpotiDownloader.com - Ensalada (feat. Anderson .Paak) - Freddie Gibbs.mp3,-120.48363,113.506516,-1.2563024,12.133177,13.834438,27.029007,-4.1241975,1.1216005,1.4346639,2.8255384,-5.6051526,5.350886,-0.8721032,6
SpotiDownloader.com - EXIT 9 - Killer Mike.mp3,-153.66452,146.29736,3.1302524,22.515453,12.116417,4.9681416,2.0346704,2.55694,-3.977279,-4.688789,-4.717645,-2.3279228,-3.8557684,5
SpotiDownloader.com - Feel It (From “Invincible”) - d4vd.mp3,-115.718895,90.66393,5.8534584,19.752922,2.7801213,4.0171747,-11.179866,0.8668412,-4.687385,1.5734396,-1.0858642,-0.20383485,-4.7659593,1
SpotiDownloader.com - hooligan - Baby Keem.mp3,-205.8884,113.89447,28.589136,1.4925776,4.70988,5.6781545,0.8739333,-5.466202,-13.499984,4.28876,-2.1203737,0.33992442,-4.3654256,3
SpotiDownloader.com - Something Wrong (with Don Toliver) - DJ Snake.mp3,-142.81163,104.658134,-8.420642,-21.999395,-6.2348347,-3.7211087,2.1044695,3.167111,-5.372403,6.5930343,2.7145684,-2.1056824,-1.1263732,7
SpotiDownloader.com - Sure Of It - Lil Tecca (1).mp3,-18.23135,97.06062,20.206718,14.336844,6.2206907,5.116994,0.42469794,2.81392,-3.4265466,6.1113586,0.5652324,5.4390244,3.2705822,2
